Ticker Symbol,Industry Sector
UBER,Industrials
UNP,Industrials
UPS,Industrials
URI,Industrials
VLTO,Industrials
VRSK,Industrials
WAB,Industrials
WM,Industrials
XYL,Industrials
AAPL,Information Technology
ACN,Information Technology
ADBE,Information Technology
ADI,Information Technology
ADSK,Information Technology
AKAM,Information Technology
AMAT,Information Technology
AMD,Information Technology
ANET,Information Technology
ANSS,Information Technology
APH,Information Technology
AVGO,Information Technology
CDNS,Information Technology
CDW,Information Technology
CRM,Information Technology
CSCO,Information Technology
CTSH,Information Technology
ENPH,Information Technology
EPAM,Information Technology
FFIV,Information Technology
FICO,Information Technology
FSLR,Information Technology
FTNT,Information Technology
GEN,Information Technology
GLW,Information Technology
HPE,Information Technology
HPQ,Information Technology
IBM,Information Technology
INTC,Information Technology
INTU,Information Technology
IT,Information Technology
JBL,Information Technology
JNPR,Information Technology
KEYS,Information Technology
KLAC,Information Technology
LRCX,Information Technology
MCHP,Information Technology
MPWR,Information Technology
MSFT,Information Technology
MSI,Information Technology
MU,Information Technology
NOW,Information Technology
NTAP,Information Technology
NVDA,Information Technology
NXPI,Information Technology
ON,Information Technology
ORCL,Information Technology
PANW,Information Technology
PTC,Information Technology
QCOM,Information Technology
QRVO,Information Technology
ROP,Information Technology
SMCl,Information Technology
SNPS,Information Technology
STX,Information Technology
SWKS,Information Technology
TDY,Information Technology
TEL,Information Technology
TER,Information Technology
TRMB,Information Technology
TXN,Information Technology
TYL,Information Technology
VRSN,Information Technology
WDC,Information Technology
ZBRA,Information Technology
ALB,Materials
AMCR,Materials
APD,Materials
AVY,Materials
BALL,Materials
CE,Materials
CF,Materials
CTVA,Materials
DD,Materials
DOW,Materials
ECL,Materials
EMN,Materials
FCX,Materials
FMC,Materials
IFF,Materials
IP,Materials
LIN,Materials
LYB,Materials
MLM,Materials
MOS,Materials
NEM,Materials
NUE,Materials
PKG,Materials
PPG,Materials
SHW,Materials
STLD,Materials
VMC,Materials
WRK,Materials
AMT,Real Estate
ARE,Real Estate
AVB,Real Estate
BXP,Real Estate
CBRE,Real Estate
CCI,Real Estate
CPT,Real Estate
CSGP,Real Estate
DLR,Real Estate
DOC,Real Estate
EQIX,Real Estate
EQR,Real Estate
ESS,Real Estate
EXR,Real Estate
FRT,Real Estate
HST,Real Estate
INVH,Real Estate
IRM,Real Estate
KIM,Real Estate
MAA,Real Estate
O,Real Estate
PLD,Real Estate
PSA,Real Estate
REG,Real Estate
SBAC,Real Estate
SPG,Real Estate
UDR,Real Estate
VICI,Real Estate
VTR,Real Estate
WELL,Real Estate
WY,Real Estate
CHTR,Communication Services
CMCSA,Communication Services
DIS,Communication Services
EA,Communication Services
FOX,Communication Services
FOXA,Communication Services
GOOG,Communication Services
GOOGL,Communication Services
IPG,Communication Services
LYV,Communication Services
META,Communication Services
MTCH,Communication Services
NFLX,Communication Services
NWS,Communication Services
NWSA,Communication Services
OMC,Communication Services
PARA,Communication Services
T,Communication Services
TMUS,Communication Services
TTWO,Communication Services
VZ,Communication Services
WBD,Communication Services
AEE,Utilities
AEP,Utilities
AES,Utilities
ATO,Utilities
AWK,Utilities
CEG,Utilities
CMS,Utilities
CNP,Utilities
D,Utilities
DTE,Utilities
DUK,Utilities
ED,Utilities
EIX,Utilities
ES,Utilities
ETR,Utilities
EVRG,Utilities
EXC,Utilities
FE,Utilities
LNT,Utilities
NEE,Utilities
NI,Utilities
NRG,Utilities
PCG,Utilities
PEG,Utilities
PNW,Utilities
PPL,Utilities
SO,Utilities
SRE,Utilities
VST,Utilities
WEC,Utilities
XEL,Utilities
